N	mean	var	loss	bw	B	MaxB	Silence	Bp	out
93	1.120279	0.145194	0.000000	1.803594	29	115	4.416504	28.574219	2
73	2.924653	0.156802	0.468761	1.462702	277	365	1.916504	48.574219	1
103	1.048915	0.084068	0.000000	1.703710	2	240	3.166504	18.574219	2
83	4.526463	0.192494	0.471701	2.376978	249	490	0.666504	38.574219	1
98	0.674970	0.068541	0.000000	1.047068	20	53	3.791504	13.574219	2
78	2.670803	0.134865	0.448250	1.483710	267	303	1.291504	33.574219	1
108	1.665229	0.091336	0.000000	2.511222	23	178	2.541504	23.574219	2
88	8.661235	0.025999	0.565565	3.755218	271	428	0.041504	43.574219	1
91	1.320236	0.046576	0.213268	1.051399	69	84	1.604004	16.074219	1
71	1.140433	0.132383	0.523528	0.591313	107	334	4.104004	36.074219	1
101	4.628761	0.055331	0.459320	2.491286	119	209	0.354004	26.074219	1
81	2.336113	0.210641	0.209248	1.779364	32	459	2.854004	46.074219	1
96	1.488709	0.110332	0.036984	1.560100	19	21	2.229004	21.074219	1
76	1.275668	0.183565	0.234555	0.978956	121	271	4.729004	41.074219	1
106	1.413760	0.034339	0.201062	1.126515	101	146	0.979004	11.074219	1
86	1.475574	0.105121	0.010503	1.465253	77	396	3.479004	31.074219	0
96	0.774034	0.070898	0.254445	0.573951	39	416	4.064941	17.011719	1
76	2.743672	0.113660	0.117191	2.284113	98	166	1.564941	37.011719	1
106	1.852477	0.151345	0.075179	1.684128	100	291	2.814941	27.011719	1
86	7.178642	0.090493	0.448887	3.986742	34	41	0.314941	47.011719	1
91	0.825621	0.063821	0.419312	0.462481	105	478	4.689941	22.011719	1
71	2.298162	0.182937	0.056417	2.095937	164	228	2.189941	42.011719	1
101	0.655493	0.054916	0.174911	0.571105	165	353	3.439941	12.011719	1
81	3.134737	0.147135	0.240609	2.362907	99	103	0.939941	32.011719	1
99	2.375819	0.113326	0.475556	1.262031	205	385	1.877441	29.511719	1
79	1.732934	0.186983	0.000000	2.731400	4	135	4.377441	49.511719	2
109	3.102777	0.110599	0.473028	1.617909	203	260	0.627441	19.511719	1
89	2.017716	0.187717	0.000000	3.195183	2	10	3.127441	39.511719	2
94	1.388743	0.049106	0.584329	0.608943	293	447	1.252441	14.511719	1
74	1.211673	0.132084	0.003813	1.554485	31	197	3.752441	34.511719	0
104	5.975818	0.000965	0.574075	2.544590	292	322	0.002441	24.511719	1
84	2.485435	0.203988	0.001583	3.082862	29	72	2.502441	44.511719	0
70	0.871142	0.062961	0.000000	1.275594	160	213	3.596191	23.261719	2
90	4.427024	0.178762	0.478934	2.311790	116	463	1.096191	43.261719	1
80	0.455612	0.052221	0.000000	1.037319	44	88	4.846191	13.261719	2
100	2.375418	0.195097	0.118474	2.097463	0	338	2.346191	33.261719	1
75	0.804590	0.072199	0.001017	0.957832	131	150	2.971191	18.261719	0
95	5.814815	0.118676	0.548747	2.584951	150	400	0.471191	38.261719	1
85	1.089648	0.101312	0.000000	2.107320	15	25	4.221191	28.261719	2
105	4.450963	0.292000	0.316741	2.978120	34	275	1.721191	48.261719	1
72	1.569048	0.010869	0.529356	0.738831	76	244	0.158691	10.761719	1
92	1.819990	0.120180	0.385889	1.103896	402	494	2.658691	30.761719	1
82	1.702403	0.105830	0.045147	1.613493	7	119	1.408691	20.761719	1
102	1.937177	0.216620	0.008273	2.206523	208	369	3.908691	40.761719	0
77	2.575023	0.106257	0.386014	1.578945	79	181	0.783691	25.761719	1
97	2.450743	0.193654	0.527918	1.157515	404	431	3.283691	45.761719	1
87	1.078995	0.073928	0.013061	1.174222	10	56	2.033691	15.761719	0
107	1.710274	0.133279	0.061886	1.586991	210	306	4.533691	35.761719	1
88	2.397351	0.114817	0.032949	2.307143	307	345	1.330566	26.386719	1
108	2.454779	0.239845	0.000303	2.978816	37	95	3.830566	46.386719	0
78	2.777838	0.013828	0.549337	1.253269	301	470	0.080566	16.386719	1
98	2.433096	0.248675	0.326226	1.609540	31	220	2.580566	36.386719	1
83	0.794212	0.038531	0.000000	0.859909	217	283	1.955566	11.386719	0
103	1.511545	0.119222	0.015969	1.553020	8	33	4.455566	31.386719	1
73	2.166086	0.073488	0.394720	1.311781	210	408	0.705566	21.386719	1
93	2.163679	0.191043	0.449763	1.248979	2	158	3.205566	41.386719	1
86	0.653588	0.077876	0.000000	1.525263	142	314	4.768066	18.886719	2
106	2.974285	0.164429	0.184800	2.480722	61	64	2.268066	38.886719	1
76	1.186957	0.137224	0.000000	1.641981	89	439	3.518066	28.886719	2
96	5.438639	0.283964	0.506171	2.742886	133	189	1.018066	48.886719	1
81	0.941880	0.075227	0.000000	1.625078	83	252	4.143066	23.886719	2
101	4.036836	0.133605	0.392551	2.507202	1	2	1.643066	43.886719	1
71	0.614158	0.039335	0.007486	0.657173	30	377	2.893066	13.886719	0
91	5.214343	0.130006	0.562428	2.258209	73	127	0.393066	33.886719	1
104	1.653999	0.056466	0.411331	0.984207	4	17	0.861816	12.636719	1
84	1.444868	0.153856	0.000000	2.651725	196	267	3.361816	32.636719	2
94	1.633219	0.096426	0.382066	0.983467	68	142	2.111816	22.636719	1
74	1.356157	0.152201	0.000000	2.396748	386	392	4.611816	42.636719	2
109	5.697052	0.051618	0.540566	2.627405	8	80	0.236816	27.636719	1
89	2.673159	0.198515	0.000000	3.719624	201	330	2.736816	47.636719	2
99	1.666683	0.084284	0.528924	0.788260	73	205	1.486816	17.636719	1
79	1.469308	0.119489	0.000000	1.980921	391	455	3.986816	37.636719	2
102	1.221549	0.102645	0.088611	1.118214	32	49	3.049316	20.136719	1
82	5.111419	0.127051	0.367135	3.168708	51	299	0.549316	40.136719	1
92	0.437288	0.038753	0.354452	0.285702	160	174	4.299316	10.136719	1
72	1.890929	0.168941	0.113720	1.674749	179	424	1.799316	30.136719	1
107	0.820507	0.071635	0.196274	0.690266	60	111	3.674316	15.136719	1
87	3.294662	0.165209	0.207441	2.677200	17	361	1.174316	35.136719	1
97	0.957171	0.102034	0.533063	0.452142	188	236	4.924316	25.136719	1
77	2.378777	0.162016	0.037959	2.294501	144	486	2.424316	45.136719	1
89	0.954814	0.078723	0.000000	1.220297	261	392	2.526855	15.019531	2
109	8.738491	0.011412	0.569774	3.755076	23	142	0.026855	35.019531	1
79	0.974041	0.115406	0.000000	1.395846	244	267	3.776855	25.019531	2
99	4.520999	0.155539	0.501051	2.278468	7	17	1.276855	45.019531	1
84	0.967523	0.081519	0.000000	1.366852	245	454	3.151855	20.019531	2
104	5.981533	0.093517	0.503403	2.935829	8	204	0.651855	40.019531	1
74	0.310827	0.054231	0.000000	0.441417	260	329	4.401855	10.019531	2
94	2.273321	0.094947	0.568372	0.978746	23	79	1.901855	30.019531	1
86	2.858051	0.093203	0.203629	2.298034	96	423	0.964355	27.519531	1
106	2.571439	0.246666	0.008805	2.851739	126	173	3.464355	47.519531	0
76	0.971383	0.077418	0.000000	1.047978	142	298	2.214355	17.519531	0
96	1.491692	0.112533	0.247171	1.197644	46	48	4.714355	37.519531	1
81	1.800037	0.036913	0.449230	0.966784	50	486	0.339355	12.519531	1
101	2.070607	0.116452	0.210801	1.622839	142	236	2.839355	32.519531	1
71	1.412256	0.083529	0.212174	1.172878	127	361	1.589355	22.519531	1
91	1.775723	0.308108	0.448925	0.965208	94	111	4.089355	42.519531	1
102	1.059317	0.046312	0.001192	1.250745	98	220	4.558105	23.769531	0
82	2.779918	0.149211	0.000000	3.370908	445	470	2.058105	43.769531	2
92	0.692968	0.073997	0.366770	0.449366	18	95	3.308105	13.769531	1
72	3.209762	0.111863	0.366748	2.061574	240	345	0.808105	33.769531	1
107	0.958599	0.055880	0.085934	0.862932	50	157	3.933105	18.769531	1
87	3.272554	0.184567	0.115205	2.945154	334	407	1.433105	38.769531	1
97	1.820968	0.118846	0.526199	0.828166	2	32	2.683105	28.769531	1
77	7.481748	0.059503	0.532256	3.484808	161	282	0.183105	48.769531	1
100	0.965769	0.058295	0.217718	0.748764	167	189	1.745605	11.269531	1
80	1.133239	0.108443	0.000000	2.445212	169	439	4.245605	31.269531	2
90	3.001708	0.062596	0.528130	1.420851	40	64	0.495605	21.269531	1
70	1.755970	0.204607	0.000000	2.287123	42	314	2.995605	41.269531	2
105	1.915645	0.121469	0.243390	1.491832	95	126	2.370605	26.269531	1
85	1.654876	0.203458	0.000000	3.434223	97	376	4.870605	46.269531	2
95	1.711527	0.088416	0.550546	0.808213	0	1	1.120605	16.269531	1
75	1.392654	0.109229	0.000000	1.861578	2	251	3.620605	36.269531	2
96	4.068320	0.055566	0.538262	1.863898	114	337	0.417480	25.644531	1
76	2.125453	0.154055	0.000000	2.630113	72	87	2.917480	45.644531	0
106	1.451861	0.068065	0.281248	1.062556	40	462	1.667480	15.644531	1
86	1.297325	0.147108	0.000000	2.880738	124	212	4.167480	35.644531	2
91	1.123438	0.033638	0.552901	0.499118	127	275	1.042480	10.644531	1
71	1.155749	0.124014	0.008615	1.412707	24	25	3.542480	30.644531	0
101	1.501443	0.109278	0.278364	1.069258	85	400	2.292480	20.644531	1
81	1.328558	0.133459	0.000000	2.748235	107	150	4.792480	40.644531	2
98	0.977475	0.055396	0.261072	0.743245	285	368	3.229980	18.144531	1
78	4.084789	0.203144	0.349886	2.646088	32	118	0.729980	38.144531	1
108	1.366359	0.126231	0.000000	1.766809	259	493	4.479980	28.144531	2
88	3.308324	0.120701	0.000000	4.202356	6	243	1.979980	48.144531	2
93	1.396564	0.123401	0.469612	0.772509	275	306	2.604980	23.144531	1
73	6.679214	0.036676	0.547526	3.033688	22	56	0.104980	43.144531	1
103	0.710490	0.057660	0.011891	0.668876	280	431	3.854980	13.144531	0
83	2.802679	0.110982	0.082564	2.533820	27	181	1.354980	33.144531	1
72	0.684345	0.044672	0.036596	0.774462	22	40	2.448730	14.394531	1
92	1.281082	0.096811	0.294624	0.911102	16	290	4.948730	34.394531	1
82	2.148489	0.101744	0.134802	1.884797	133	165	1.198730	24.394531	1
102	2.317940	0.145147	0.017124	2.368293	127	415	3.698730	44.394531	0
77	1.885841	0.126451	0.185893	1.560305	70	103	1.823730	29.394531	1
97	2.194787	0.097832	0.557069	0.974085	64	353	4.323730	49.394531	1
87	2.559908	0.064896	0.388405	1.545253	212	228	0.573730	19.394531	1
107	2.514989	0.191156	0.231360	1.890418	206	478	3.073730	39.394531	1
74	0.792157	0.044232	0.000000	1.239616	1	9	4.011230	21.894531	2
94	3.722124	0.192176	0.424416	2.057675	160	259	1.511230	41.894531	1
84	0.656245	0.048529	0.000000	0.967265	49	134	2.761230	11.894531	2
104	6.205228	0.047230	0.523457	2.943657	333	384	0.261230	31.894531	1
79	0.517752	0.038204	0.000000	0.875258	17	72	4.636230	16.894531	2
99	2.743973	0.191882	0.497997	1.367506	239	322	2.136230	36.894531	1
89	1.244911	0.130926	0.000000	2.082321	97	197	3.386230	26.894531	2
109	6.335299	0.233563	0.461406	3.506138	444	447	0.886230	46.894531	1
79	1.496655	0.100963	0.540020	0.707661	406	490	1.550293	20.957031	1
99	1.992725	0.231954	0.000000	2.617761	79	240	4.050293	40.957031	0
89	1.782917	0.027967	0.537125	0.819355	211	365	0.300293	10.957031	1
109	2.048247	0.076711	0.000000	2.897189	9	115	2.800293	30.957031	2
74	0.881770	0.055411	0.399873	0.519999	408	427	2.175293	15.957031	1
94	1.458705	0.181047	0.000000	2.497599	80	177	4.675293	35.957031	2
84	2.679100	0.129305	0.398609	1.586346	213	302	0.925293	25.957031	1
104	2.479118	0.212576	0.000000	4.532056	10	52	3.425293	45.957031	2
77	0.403298	0.060631	0.298781	0.277150	122	458	4.987793	13.457031	1
97	2.159794	0.190566	0.024030	2.367091	159	208	2.487793	33.457031	1
87	0.946392	0.104686	0.059358	1.027423	6	333	3.737793	23.457031	1
107	4.940790	0.135486	0.114566	4.317099	42	83	1.237793	43.457031	1
72	0.927567	0.075752	0.144766	0.791446	155	396	4.362793	28.457031	1
92	3.530289	0.255674	0.038304	3.720097	130	146	1.862793	48.457031	1
82	0.887535	0.080275	0.001314	0.935701	38	271	3.112793	18.457031	0
102	5.762626	0.197185	0.320388	3.916067	13	21	0.612793	38.457031	1
93	2.461697	0.055015	0.414687	1.455781	6	130	0.769043	19.707031	1
73	1.594992	0.144521	0.518223	0.738594	208	380	3.269043	39.707031	1
103	2.421490	0.129680	0.041455	2.603200	1	5	2.019043	29.707031	1
83	1.746670	0.165892	0.098284	1.682795	203	255	4.519043	49.707031	1
98	4.966835	0.026795	0.533338	2.315155	33	193	0.144043	24.707031	1
78	2.220556	0.145231	0.400434	1.341170	298	443	2.644043	44.707031	1
108	1.586670	0.093728	0.079334	1.497586	28	68	1.394043	14.707031	1
88	1.557116	0.156025	0.036251	1.600638	293	318	3.894043	34.707031	1
90	1.362850	0.084920	0.000000	1.697256	98	161	2.956543	27.207031	0
70	5.368302	0.105631	0.550108	2.361274	45	411	0.456543	47.207031	1
100	0.797396	0.085650	0.000000	1.497373	31	36	4.206543	17.207031	2
80	2.628766	0.092022	0.350967	1.736667	103	286	1.706543	37.207031	1
95	0.600723	0.035256	0.000000	0.900717	165	224	3.581543	12.207031	2
75	2.729785	0.158676	0.460771	1.429483	112	474	1.081543	32.207031	1
105	0.963813	0.099149	0.000000	2.262877	97	99	4.831543	22.207031	2
85	2.551561	0.167100	0.142768	2.242734	169	349	2.331543	42.207031	1
105	0.492259	0.052437	0.000000	0.874847	49	310	4.284668	10.332031	2
85	2.255348	0.162218	0.386615	1.357510	39	60	1.784668	30.332031	1
95	1.151011	0.156555	0.000000	1.221455	177	435	3.034668	20.332031	0
75	4.631794	0.094721	0.571811	1.982882	168	185	0.534668	40.332031	1
100	1.029563	0.089889	0.000000	2.293770	12	372	4.909668	25.332031	2
80	2.480923	0.133397	0.204807	2.053501	65	122	2.409668	45.332031	1
90	0.739893	0.040393	0.000000	0.985648	140	497	3.659668	15.332031	2
70	2.692260	0.154080	0.509575	1.326116	193	247	1.159668	35.332031	1
107	1.847614	0.097255	0.000000	2.151436	201	279	2.097168	22.832031	0
87	1.582985	0.154508	0.044117	1.656580	6	29	4.597168	42.832031	1
97	1.583687	0.050328	0.359712	1.001366	392	404	0.847168	12.832031	1
77	1.459858	0.111228	0.477728	0.725061	72	154	3.347168	32.832031	1
102	1.707967	0.084629	0.018869	1.763336	203	341	1.472168	17.832031	0
82	1.418924	0.112420	0.002931	1.736011	8	91	3.972168	37.832031	1
92	4.939637	0.060597	0.508507	2.420318	394	466	0.222168	27.832031	1
72	2.217046	0.184976	0.353561	1.425777	74	216	2.722168	47.832031	1
81	1.270780	0.112761	0.162066	1.059069	70	75	3.503418	29.082031	1
101	5.884325	0.227439	0.251169	4.442041	142	325	1.003418	49.082031	1
71	0.560491	0.052607	0.516665	0.283032	137	200	4.753418	19.082031	1
91	2.513986	0.146890	0.060499	2.429449	85	450	2.253418	39.082031	1
86	0.754532	0.052001	0.095052	0.687486	10	13	2.878418	14.082031	1
106	6.137774	0.110593	0.429975	3.530853	82	263	0.378418	34.082031	1
76	0.796268	0.080642	0.317888	0.603639	77	138	4.128418	24.082031	1
96	3.862623	0.250571	0.111054	3.360066	25	388	1.628418	44.082031	1
83	3.040461	0.013399	0.565010	1.321409	40	107	0.065918	16.582031	1
103	2.486112	0.176069	0.000000	3.374759	313	357	2.565918	36.582031	2
73	1.972446	0.099457	0.516919	0.953643	29	232	1.315918	26.582031	1
93	2.145707	0.125258	0.000000	2.976191	302	482	3.815918	46.582031	2
88	2.651201	0.096696	0.431061	1.495668	11	44	0.690918	21.582031	1
108	2.609490	0.185506	0.000000	4.422407	221	294	3.190918	41.582031	2
78	0.727836	0.050335	0.383401	0.444300	0	169	1.940918	11.582031	1
98	1.386011	0.158119	0.000000	2.412917	210	419	4.440918	31.582031	2
84	1.782039	0.069348	0.466677	0.947447	17	191	2.194824	28.300781	1
104	2.038246	0.171645	0.000000	3.468308	261	441	4.694824	48.300781	2
74	1.591583	0.057153	0.424653	0.942738	22	66	0.944824	18.300781	1
94	1.848341	0.158005	0.000000	3.250126	266	316	3.444824	38.300781	2
89	1.083833	0.050895	0.419046	0.641071	27	128	1.569824	13.300781	1
109	1.802093	0.104868	0.000000	2.899906	271	378	4.069824	33.300781	2
79	3.273982	0.065589	0.511362	1.617514	1	3	0.319824	23.300781	1
99	2.650023	0.183314	0.000000	4.285232	244	253	2.819824	43.300781	2
81	0.619974	0.062112	0.477905	0.331714	117	222	3.757324	15.800781	1
101	3.728717	0.123073	0.276545	2.733755	14	472	1.257324	35.800781	1
71	1.235461	0.125225	0.251004	0.930893	75	97	2.507324	25.800781	1
91	9.722031	0.003525	0.571254	4.162174	97	347	0.007324	45.800781	1
86	0.837352	0.092822	0.243500	0.604744	104	159	4.382324	20.800781	1
106	3.465517	0.189151	0.038410	3.440879	63	409	1.882324	40.800781	1
76	0.463909	0.041601	0.093527	0.470559	30	34	3.132324	10.800781	1
96	4.235038	0.158646	0.310002	2.884727	114	284	0.632324	30.800781	1
107	2.048473	0.045893	0.459166	1.120280	344	425	0.476074	12.050781	1
87	1.636076	0.100691	0.474443	0.895948	54	175	2.976074	32.050781	1
97	1.783669	0.050855	0.006101	1.926654	168	300	1.726074	22.050781	0
77	1.472792	0.150267	0.073714	1.518345	3	50	4.226074	42.050781	1
102	3.181511	0.159975	0.209977	2.351798	456	488	1.101074	27.050781	1
82	2.001699	0.194154	0.212093	1.497605	103	238	3.601074	47.050781	1
92	1.130081	0.053675	0.000000	1.533742	249	363	2.351074	17.050781	2
72	1.018835	0.138912	0.001687	1.491595	21	113	4.851074	37.050781	2
105	1.429101	0.112775	0.000000	1.650270	147	394	3.288574	24.550781	0
85	4.980722	0.151463	0.560154	2.168586	125	144	0.788574	44.550781	1
95	0.607315	0.084374	0.000000	1.133984	33	269	4.538574	14.550781	2
75	2.054138	0.068777	0.340473	1.340910	11	19	2.038574	34.550781	1
100	1.263109	0.124914	0.000000	1.465769	227	456	2.663574	19.550781	0
80	6.377812	0.044037	0.564794	2.788544	205	206	0.163574	39.550781	1
90	1.316125	0.105564	0.000000	2.459945	82	331	3.913574	29.550781	2
70	3.455039	0.240226	0.337700	2.261388	60	81	1.413574	49.550781	1
90	0.686952	0.053294	0.000034	1.366837	10	11	4.460449	17.675781	0
70	2.118785	0.089141	0.336354	1.463050	109	261	1.960449	37.675781	1
100	1.530621	0.099074	0.009635	1.876279	91	136	3.210449	27.675781	0
80	5.285607	0.124442	0.543467	2.352852	65	386	0.710449	47.675781	1
95	1.033549	0.099767	0.000000	2.073270	58	73	3.835449	22.675781	2
75	3.197479	0.109627	0.333513	2.198897	95	323	1.335449	42.675781	1
105	0.885681	0.051916	0.000000	1.045564	107	198	2.585449	12.675781	0
85	6.011488	0.021960	0.565896	2.603100	20	448	0.085449	32.675781	1
93	2.050604	0.088323	0.063589	1.999120	20	42	1.647949	25.175781	1
73	1.468781	0.173465	0.106678	1.345138	287	292	4.147949	45.175781	1
103	2.652630	0.038977	0.484580	1.347359	38	167	0.397949	15.175781	1
83	1.743387	0.119612	0.565158	0.781862	305	417	2.897949	35.175781	1
98	0.725830	0.030885	0.000000	0.921142	37	105	2.272949	10.175781	2
78	1.026355	0.132992	0.007536	1.166919	304	355	4.772949	30.175781	0
108	2.494534	0.091321	0.310249	1.782468	24	230	1.022949	20.175781	1
88	1.818085	0.151821	0.370235	1.167581	291	480	3.522949	40.175781	1
77	1.040492	0.075454	0.145554	0.874765	74	370	2.741699	21.425781	1
97	7.622247	0.104925	0.487193	3.907926	84	120	0.241699	41.425781	1
87	0.509555	0.035896	0.374263	0.285694	223	495	3.991699	11.425781	1
107	3.119697	0.196354	0.217479	2.575226	233	245	1.491699	31.425781	1
72	0.674068	0.050211	0.001427	0.712053	23	308	3.366699	16.425781	0
92	4.221553	0.074268	0.204141	3.326101	33	58	0.866699	36.425781	1
82	0.938170	0.064877	0.089467	0.802378	141	433	4.616699	26.425781	1
102	3.738718	0.284930	0.009809	3.879594	151	183	2.116699	46.425781	0
79	1.216510	0.070301	0.433354	0.681275	216	339	1.179199	13.925781	1
99	1.668889	0.169311	0.000000	2.820936	12	89	3.679199	33.925781	2
89	1.524530	0.092980	0.553623	0.690931	412	464	2.429199	23.925781	1
109	1.854908	0.236533	0.000000	2.982350	83	214	4.929199	43.925781	2
74	3.188731	0.070582	0.472904	1.698872	142	277	0.554199	28.925781	1
94	2.616759	0.214633	0.000000	4.326657	0	27	3.054199	48.925781	2
84	1.372074	0.060796	0.452654	0.742225	307	402	1.804199	18.925781	1
104	1.775998	0.126513	0.000000	2.968767	40	152	4.304199	38.925781	2
74	0.488048	0.049132	0.000000	0.919341	67	163	3.718262	12.988281	2
94	3.343943	0.064046	0.363697	2.155433	376	413	1.218262	32.988281	1
84	0.807272	0.075243	0.000000	1.440455	6	38	4.968262	22.988281	2
104	3.102551	0.188174	0.368775	1.908933	190	288	2.468262	42.988281	1
79	1.283614	0.109361	0.000000	1.910018	64	226	3.093262	27.988281	2
99	7.007938	0.220669	0.496179	3.547604	374	476	0.593262	47.988281	1
89	0.700237	0.045074	0.000034	1.041154	3	101	4.343262	17.988281	2
109	3.413228	0.177245	0.507093	1.643764	188	351	1.843262	37.988281	1
72	2.714795	0.059908	0.469105	1.437103	128	132	0.280762	20.488281	1
92	2.319619	0.165713	0.149988	2.032681	181	382	2.780762	40.488281	1
82	0.795290	0.045070	0.169357	0.668772	5	7	1.530762	10.488281	1
102	1.605019	0.187275	0.356542	0.947863	57	257	4.030762	30.488281	1
77	1.482142	0.053751	0.279889	1.055046	165	195	0.905762	15.488281	1
97	1.892859	0.147733	0.235842	1.466080	155	445	3.405762	35.488281	1
87	1.679918	0.106780	0.148389	1.471173	42	70	2.155762	25.488281	1
107	1.913740	0.148913	0.555028	0.889928	32	320	4.655762	45.488281	1
98	1.206985	0.093009	0.000000	1.512156	319	460	4.187012	26.738281	2
78	3.200086	0.119069	0.000389	3.590824	40	210	1.687012	46.738281	0
108	1.118976	0.087938	0.272721	0.764041	316	335	2.937012	16.738281	1
88	5.300422	0.098415	0.446889	2.963650	37	85	0.437012	36.738281	1
93	0.480578	0.036055	0.000000	0.505140	226	398	4.812012	11.738281	0
73	1.669866	0.086759	0.000000	2.076029	10	148	2.312012	31.738281	0
103	1.177958	0.123159	0.396384	0.667504	223	273	3.562012	21.738281	1
83	4.095367	0.159468	0.313303	2.752502	7	23	1.062012	41.738281	1
96	1.492369	0.083690	0.210955	1.124897	64	491	1.999512	19.238281	1
76	1.225108	0.076802	0.000000	2.771243	152	241	4.499512	39.238281	2
106	4.205259	0.094654	0.521086	1.988686	139	366	0.749512	29.238281	1
86	2.365115	0.203870	0.000000	3.145137	102	116	3.249512	49.238281	2
91	2.191303	0.103960	0.412477	1.297347	2	429	1.374512	24.238281	1
71	1.536837	0.269089	0.000000	2.613080	90	179	3.874512	44.238281	2
101	2.997271	0.020049	0.571677	1.284978	77	304	0.124512	14.238281	1
81	1.831671	0.128678	0.030353	1.846689	40	54	2.624512	34.238281	1
100	3.038832	0.089364	0.488590	1.550465	63	109	0.827637	23.613281	1
80	1.897998	0.119873	0.000000	2.796084	30	359	3.327637	43.613281	2
90	0.971058	0.052374	0.131451	0.804780	195	234	2.077637	13.613281	1
70	1.024174	0.127901	0.000000	2.336900	161	484	4.577637	33.613281	2
105	3.828833	0.036937	0.566384	1.663521	32	46	0.202637	18.613281	1
85	2.145907	0.147917	0.013420	2.363856	62	296	2.702637	38.613281	0
95	2.624756	0.117402	0.348787	1.698673	164	171	1.452637	28.613281	1
75	1.819614	0.141338	0.000000	3.258114	193	421	3.952637	48.613281	2
103	0.684119	0.051348	0.389373	0.439124	1	77	3.015137	11.113281	1
83	3.964394	0.116816	0.428601	2.300739	170	327	0.515137	31.113281	1
93	0.917214	0.053862	0.000000	1.055617	54	202	4.265137	21.113281	0
73	2.556123	0.221052	0.000000	2.865624	348	452	1.765137	41.113281	0
108	1.491417	0.115886	0.493292	0.727704	2	15	3.640137	26.113281	1
88	4.451740	0.181444	0.313076	3.094218	171	265	1.140137	46.113281	1
98	0.660582	0.069850	0.016285	0.666900	55	140	4.890137	16.113281	1
78	1.981946	0.193872	0.003099	2.427986	349	390	2.390137	36.113281	0
86	1.517611	0.083661	0.185185	1.249155	85	281	1.296387	17.363281	1
106	1.950362	0.224880	0.191702	1.485439	24	31	3.796387	37.363281	1
76	4.667413	0.014636	0.554309	2.075963	21	406	0.046387	27.363281	1
96	3.000956	0.201023	0.087085	2.785371	86	156	2.546387	47.363281	1
81	1.473594	0.090505	0.112225	1.317543	146	343	1.921387	22.363281	1
101	1.784997	0.181293	0.416638	1.087397	86	93	4.421387	42.363281	1
71	1.244535	0.039617	0.331508	0.819772	83	468	0.671387	12.363281	1
91	1.657909	0.109621	0.112270	1.457100	147	218	3.171387	32.363281	1
89	1.107997	0.081195	0.000000	1.885327	270	312	4.733887	29.863281	2
109	3.938023	0.226397	0.414374	2.236135	22	62	2.233887	49.863281	1
79	0.841338	0.089124	0.000000	1.444775	269	437	3.483887	19.863281	2
99	4.627808	0.250238	0.393959	2.768128	21	187	0.983887	39.863281	1
84	0.551316	0.071161	0.000000	0.769492	370	374	4.108887	14.863281	2
104	3.326196	0.145343	0.566251	1.441095	60	124	1.608887	34.863281	1
74	1.110428	0.079045	0.000000	1.530392	369	499	2.858887	24.863281	2
94	7.319517	0.137257	0.532222	3.407386	59	249	0.358887	44.863281	1
85	1.044002	0.086531	0.000819	1.481723	60	63	3.942871	24.941406	2
105	4.499968	0.176276	0.489433	2.273272	141	313	1.442871	44.941406	1
75	0.730819	0.067892	0.000000	1.016466	132	188	2.692871	14.941406	2
95	6.535306	0.074235	0.544442	2.982681	89	438	0.192871	34.941406	1
80	0.701967	0.100128	0.000000	1.264919	103	125	4.567871	19.941406	2
100	3.161408	0.204060	0.357205	1.968407	123	375	2.067871	39.941406	1
70	1.194176	0.079347	0.000000	2.091967	144	250	3.317871	29.941406	2
90	5.661683	0.226311	0.394425	3.478687	39	500	0.817871	49.941406	1
87	0.749293	0.039342	0.072540	0.747079	12	32	2.380371	12.441406	1
107	1.326252	0.096816	0.449745	0.763332	251	282	4.880371	32.441406	1
77	1.899251	0.097542	0.199118	1.553837	22	157	1.130371	22.441406	1
97	1.999543	0.181519	0.100691	1.889874	260	407	3.630371	42.441406	1
82	1.892659	0.083625	0.071469	1.798715	25	94	1.755371	27.441406	1
102	2.145406	0.239007	0.278306	1.645882	263	344	4.255371	47.441406	1
72	1.969137	0.048515	0.373420	1.228403	3	219	0.505371	17.441406	1
92	1.988865	0.181711	0.043890	1.984455	242	469	3.005371	37.441406	1
101	0.945114	0.062244	0.447336	0.506395	56	328	3.161621	16.191406	1
81	4.103714	0.099631	0.416454	2.454455	52	78	0.661621	36.191406	1
91	1.031995	0.108006	0.005697	1.103586	191	453	4.411621	26.191406	0
71	2.535293	0.188975	0.018270	2.937894	187	203	1.911621	46.191406	0
106	1.473243	0.069606	0.353696	0.983654	12	266	2.536621	21.191406	1
86	8.034193	0.015976	0.563367	3.506958	8	16	0.036621	41.191406	1
96	0.579917	0.038016	0.000000	0.620779	116	391	3.786621	11.191406	0
76	2.440616	0.147376	0.054358	2.325608	112	141	1.286621	31.191406	1
103	5.146663	0.071741	0.567839	2.212505	264	360	0.349121	28.691406	1
83	2.502831	0.171176	0.028974	2.631848	25	110	2.849121	48.691406	1
93	1.601509	0.062486	0.385155	0.966988	477	485	1.599121	18.691406	1
73	1.277924	0.182077	0.000000	2.322245	113	235	4.099121	38.691406	2
108	1.824277	0.056145	0.508210	0.861253	181	297	0.974121	13.691406	1
88	1.536511	0.113025	0.001418	2.167849	5	47	3.474121	33.691406	0
98	1.712053	0.093673	0.211717	1.366876	362	422	2.224121	23.691406	1
